Model,Class,Precision,Recall,F1,Support
ResNet-50,Apple Brown_spot,100.0,100.0,100.0,39
ResNet-50,Apple Normal,100.0,100.0,100.0,31
ResNet-50,Apple black_spot,100.0,100.0,100.0,16
DenseNet-121,Apple Brown_spot,100.0,100.0,100.0,39
DenseNet-121,Apple Normal,100.0,100.0,100.0,31
DenseNet-121,Apple black_spot,100.0,100.0,100.0,16
EfficientNet-B0,Apple Brown_spot,97.5,100.0,98.73,39
EfficientNet-B0,Apple Normal,100.0,96.77,98.36,31
EfficientNet-B0,Apple black_spot,93.75,93.75,93.75,16
MobileNetV3-L,Apple Brown_spot,100.0,100.0,100.0,39
MobileNetV3-L,Apple Normal,100.0,100.0,100.0,31
MobileNetV3-L,Apple black_spot,100.0,100.0,100.0,16
ViT-B/16,Apple Brown_spot,100.0,97.44,98.7,39
ViT-B/16,Apple Normal,96.88,100.0,98.41,31
ViT-B/16,Apple black_spot,100.0,100.0,100.0,16
CAT-Net (ours),Apple Brown_spot,100.0,100.0,100.0,39
CAT-Net (ours),Apple Normal,100.0,100.0,100.0,31
CAT-Net (ours),Apple black_spot,100.0,100.0,100.0,16
