model,corruption,severity,accuracy
resnet50,clean,0,1.0
resnet50,gaussian_noise,1,0.9069767441860465
resnet50,gaussian_noise,2,0.4186046511627907
resnet50,gaussian_noise,3,0.19767441860465115
resnet50,motion_blur,1,0.9883720930232558
resnet50,motion_blur,2,0.8488372093023255
resnet50,motion_blur,3,0.8023255813953488
resnet50,brightness,1,1.0
resnet50,brightness,2,1.0
resnet50,brightness,3,1.0
resnet50,jpeg_compression,1,0.9767441860465116
resnet50,jpeg_compression,2,0.9651162790697675
resnet50,jpeg_compression,3,0.9302325581395349
resnet50,defocus_blur,1,1.0
resnet50,defocus_blur,2,1.0
resnet50,defocus_blur,3,0.8604651162790697
densenet121,clean,0,1.0
densenet121,gaussian_noise,1,0.9767441860465116
densenet121,gaussian_noise,2,0.36046511627906974
densenet121,gaussian_noise,3,0.2558139534883721
densenet121,motion_blur,1,0.9534883720930233
densenet121,motion_blur,2,0.8023255813953488
densenet121,motion_blur,3,0.7325581395348837
densenet121,brightness,1,1.0
densenet121,brightness,2,0.9534883720930233
densenet121,brightness,3,0.9883720930232558
densenet121,jpeg_compression,1,0.9883720930232558
densenet121,jpeg_compression,2,0.9883720930232558
densenet121,jpeg_compression,3,0.9534883720930233
densenet121,defocus_blur,1,1.0
densenet121,defocus_blur,2,0.9883720930232558
densenet121,defocus_blur,3,0.813953488372093
efficientnet_b0,clean,0,0.9767441860465116
efficientnet_b0,gaussian_noise,1,0.6162790697674418
efficientnet_b0,gaussian_noise,2,0.32558139534883723
efficientnet_b0,gaussian_noise,3,0.3953488372093023
efficientnet_b0,motion_blur,1,0.9418604651162791
efficientnet_b0,motion_blur,2,0.7906976744186046
efficientnet_b0,motion_blur,3,0.6046511627906976
efficientnet_b0,brightness,1,0.9883720930232558
efficientnet_b0,brightness,2,0.9534883720930233
efficientnet_b0,brightness,3,0.9418604651162791
efficientnet_b0,jpeg_compression,1,0.9302325581395349
efficientnet_b0,jpeg_compression,2,0.9186046511627907
efficientnet_b0,jpeg_compression,3,0.8255813953488372
efficientnet_b0,defocus_blur,1,0.9883720930232558
efficientnet_b0,defocus_blur,2,0.8953488372093024
efficientnet_b0,defocus_blur,3,0.8023255813953488
mobilenetv3_large,clean,0,1.0
mobilenetv3_large,gaussian_noise,1,0.5348837209302325
mobilenetv3_large,gaussian_noise,2,0.3488372093023256
mobilenetv3_large,gaussian_noise,3,0.16279069767441862
mobilenetv3_large,motion_blur,1,1.0
mobilenetv3_large,motion_blur,2,0.8837209302325582
mobilenetv3_large,motion_blur,3,0.8255813953488372
mobilenetv3_large,brightness,1,0.9883720930232558
mobilenetv3_large,brightness,2,0.9883720930232558
mobilenetv3_large,brightness,3,0.9767441860465116
mobilenetv3_large,jpeg_compression,1,0.9186046511627907
mobilenetv3_large,jpeg_compression,2,0.8837209302325582
mobilenetv3_large,jpeg_compression,3,0.7441860465116279
mobilenetv3_large,defocus_blur,1,0.9651162790697675
mobilenetv3_large,defocus_blur,2,0.9069767441860465
mobilenetv3_large,defocus_blur,3,0.7906976744186046
vit_b16,clean,0,0.9883720930232558
vit_b16,gaussian_noise,1,0.9767441860465116
vit_b16,gaussian_noise,2,0.9186046511627907
vit_b16,gaussian_noise,3,0.5697674418604651
vit_b16,motion_blur,1,0.9186046511627907
vit_b16,motion_blur,2,0.8372093023255814
vit_b16,motion_blur,3,0.7906976744186046
vit_b16,brightness,1,0.9302325581395349
vit_b16,brightness,2,0.872093023255814
vit_b16,brightness,3,0.9651162790697675
vit_b16,jpeg_compression,1,0.9883720930232558
vit_b16,jpeg_compression,2,0.9767441860465116
vit_b16,jpeg_compression,3,0.9418604651162791
vit_b16,defocus_blur,1,0.9767441860465116
vit_b16,defocus_blur,2,0.9069767441860465
vit_b16,defocus_blur,3,0.813953488372093
catnet,clean,0,1.0
catnet,gaussian_noise,1,0.8255813953488372
catnet,gaussian_noise,2,0.26744186046511625
catnet,gaussian_noise,3,0.32558139534883723
catnet,motion_blur,1,0.9883720930232558
catnet,motion_blur,2,0.9534883720930233
catnet,motion_blur,3,0.8604651162790697
catnet,brightness,1,1.0
catnet,brightness,2,1.0
catnet,brightness,3,1.0
catnet,jpeg_compression,1,0.9883720930232558
catnet,jpeg_compression,2,0.9767441860465116
catnet,jpeg_compression,3,0.9534883720930233
catnet,defocus_blur,1,1.0
catnet,defocus_blur,2,1.0
catnet,defocus_blur,3,0.9883720930232558
